#SampleID	Replicate	Age	Diet	Location	Sort	SampleType	Age_Diet	AgeBinary	PCR
2-0M3-fpr	R2	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
2-0M4-fA	R2	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
2-0M4-fAp	R2	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
2-0M4-fG	R2	Week3	MAL	feces	IgGneg	Sorted	Week3MAL	Young	Plate1
2-0M4-fGp	R2	Week3	MAL	feces	IgGpos	Sorted	Week3MAL	Young	Plate1
2-0M4-fpr	R2	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
2-2C1-fA	R2	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate2
2-2C1-fAp	R2	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
2-2C1-fpr	R2	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
2-2C2-fA	R2	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate2
2-2C2-fAp	R2	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
2-2C2-fpr	R2	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
2-2C3-fA	R2	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate2
2-2C3-fAp	R2	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
2-2C3-fpr	R2	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
2-2C4-fA	R2	Week5	CON	feces	IgAneg	Sorted	Week5CON	Old	Plate2
2-2C4-fAp	R2	Week5	CON	feces	IgApos	Sorted	Week5CON	Old	Plate1
2-2C4-fpr	R2	Week5	CON	feces	Pre	Presort	Week5CON	Old	Plate1
2-2M1-fA	R2	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate2
2-2M1-fAp	R2	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate2
2-2M1-fpr	R2	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate2
2-2M2-fA	R2	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate2
2-2M2-fAp	R2	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate2
2-2M2-fpr	R2	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate2
2-2M3-fA	R2	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate2
2-2M3-fAp	R2	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate2
2-2M3-fpr	R2	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate2
2-2M4-fA	R2	Week5	MAL	feces	IgAneg	Sorted	Week5MAL	Old	Plate2
2-2M4-fAp	R2	Week5	MAL	feces	IgApos	Sorted	Week5MAL	Old	Plate2
2-2M4-fpr	R2	Week5	MAL	feces	Pre	Presort	Week5MAL	Old	Plate2
2-4C1-fA	R2	Week7	CON	feces	IgAneg	Sorted	Week7CON	Old	Plate2
2-4C1-fAp	R2	Week7	CON	feces	IgApos	Sorted	Week7CON	Old	Plate2
2-4C1-fG	R2	Week7	CON	feces	IgGneg	Sorted	Week7CON	Old	Plate2
2-4C1-fGp	R2	Week7	CON	feces	IgGpos	Sorted	Week7CON	Old	Plate2
2-4C1-fpr	R2	Week7	CON	feces	Pre	Presort	Week7CON	Old	Plate2
2-4C1-jA	R2	Week7	CON	jej	IgAneg	Sorted	Week7CON	Old	Plate3
